날짜,렌트수,기온,상대습도,풍속
2011-01-01,985,0.363625,0.805833,0.160446
2011-01-02,801,0.353739,0.696087,0.248539
2011-01-03,1349,0.189405,0.437273,0.248309
2011-01-04,1562,0.212122,0.590435,0.160296
2011-01-05,1600,0.22927,0.436957,0.1869
2011-01-06,1606,0.233209,0.518261,0.0895652
2011-01-07,1510,0.208839,0.498696,0.168726
2011-01-08,959,0.162254,0.535833,0.266804
2011-01-09,822,0.116175,0.434167,0.36195
2011-01-10,1321,0.150888,0.482917,0.223267
2011-01-11,1263,0.191464,0.686364,0.122132
2011-01-12,1162,0.160473,0.599545,0.304627
2011-01-13,1406,0.150883,0.470417,0.301
2011-01-14,1421,0.188413,0.537826,0.126548
2011-01-15,1248,0.248112,0.49875,0.157963
2011-01-16,1204,0.234217,0.48375,0.188433
2011-01-17,1000,0.176771,0.5375,0.194017
2011-01-18,683,0.232333,0.861667,0.146775
2011-01-19,1650,0.298422,0.741739,0.208317
2011-01-20,1927,0.25505,0.538333,0.195904
2011-01-21,1543,0.157833,0.457083,0.353242
2011-01-22,981,0.0790696,0.4,0.17197
2011-01-23,986,0.0988391,0.436522,0.2466
2011-01-24,1416,0.11793,0.491739,0.15833
2011-01-25,1985,0.234526,0.616957,0.129796
2011-01-26,506,0.2036,0.8625,0.29385
2011-01-27,431,0.2197,0.6875,0.113837
2011-01-28,1167,0.223317,0.793043,0.1233
2011-01-29,1098,0.212126,0.651739,0.145365
2011-01-30,1096,0.250322,0.722174,0.0739826
2011-01-31,1501,0.18625,0.60375,0.187192
2011-02-01,1360,0.23453,0.829565,0.053213
2011-02-02,1526,0.254417,0.775417,0.264308
2011-02-03,1550,0.177878,0.437826,0.277752
2011-02-04,1708,0.228587,0.585217,0.127839
2011-02-05,1005,0.243058,0.929167,0.161079
2011-02-06,1623,0.291671,0.568333,0.1418
2011-02-07,1712,0.303658,0.738333,0.0454083
2011-02-08,1530,0.198246,0.537917,0.36195
2011-02-09,1605,0.144283,0.494783,0.188839
2011-02-10,1538,0.149548,0.437391,0.221935
2011-02-11,1746,0.213509,0.506364,0.10855
2011-02-12,1472,0.232954,0.544167,0.203367
2011-02-13,1589,0.324113,0.457391,0.260883
2011-02-14,1913,0.39835,0.375833,0.417908
2011-02-15,1815,0.254274,0.314348,0.291374
2011-02-16,2115,0.3162,0.423478,0.251791
2011-02-17,2475,0.428658,0.505,0.230104
2011-02-18,2927,0.511983,0.516667,0.264925
2011-02-19,1635,0.391404,0.187917,0.507463
2011-02-20,1812,0.27733,0.407826,0.223235
2011-02-21,1107,0.284075,0.605,0.307846
2011-02-22,1450,0.186033,0.577778,0.195683
2011-02-23,1917,0.245717,0.423043,0.094113
2011-02-24,1807,0.289191,0.697391,0.250496
2011-02-25,1461,0.350461,0.712174,0.346539
2011-02-26,1969,0.282192,0.537917,0.186571
2011-02-27,2402,0.351109,0.68,0.125248
2011-02-28,1446,0.400118,0.876364,0.289686
2011-03-01,1851,0.263879,0.535,0.216425
2011-03-02,2134,0.320071,0.449583,0.307833
2011-03-03,1685,0.200133,0.318333,0.225754
2011-03-04,1944,0.255679,0.610417,0.203346
2011-03-05,2077,0.378779,0.789167,0.251871
2011-03-06,605,0.366252,0.948261,0.343287
2011-03-07,1872,0.238461,0.551304,0.341352
2011-03-08,2133,0.3024,0.420833,0.12065
2011-03-09,1891,0.286608,0.775417,0.22015
2011-03-10,623,0.385668,0,0.261877
2011-03-11,1977,0.305,0.649565,0.23297
2011-03-12,2132,0.32575,0.594583,0.220775
2011-03-13,2417,0.380091,0.527391,0.270604
2011-03-14,2046,0.332,0.496957,0.136926
2011-03-15,2056,0.318178,0.655652,0.184309
2011-03-16,2192,0.36693,0.776522,0.203117
2011-03-17,2744,0.410333,0.602917,0.209579
2011-03-18,3239,0.527009,0.525217,0.231017
2011-03-19,3117,0.466525,0.379167,0.368167
2011-03-20,2471,0.32575,0.47375,0.207721
2011-03-21,2077,0.409735,0.737391,0.288783
2011-03-22,2703,0.440642,0.624583,0.22575
2011-03-23,2121,0.337939,0.839565,0.234261
2011-03-24,1865,0.270833,0.805833,0.243787
2011-03-25,2210,0.256312,0.495,0.230725
2011-03-26,2496,0.257571,0.394167,0.209571
2011-03-27,1693,0.250339,0.493913,0.1843
2011-03-28,2028,0.257574,0.302174,0.212204
2011-03-29,2425,0.292908,0.314167,0.226996
2011-03-30,1536,0.29735,0.646667,0.172888
2011-03-31,1685,0.257575,0.918333,0.217646
2011-04-01,2227,0.283454,0.68625,0.258708
2011-04-02,2252,0.315637,0.65375,0.197146
2011-04-03,3249,0.378767,0.48,0.182213
2011-04-04,3115,0.542929,0.42625,0.385571
2011-04-05,1795,0.39835,0.642083,0.388067
2011-04-06,2808,0.387608,0.470833,0.263063
2011-04-07,3141,0.433696,0.602917,0.162312
2011-04-08,1471,0.324479,0.83625,0.226992
2011-04-09,2455,0.341529,0.8775,0.133083
2011-04-10,2895,0.426737,0.8575,0.146767
2011-04-11,3348,0.565217,0.716956,0.324474
2011-04-12,2034,0.493054,0.739167,0.274879
2011-04-13,2162,0.417283,0.819167,0.250617
2011-04-14,3267,0.462742,0.540417,0.1107
2011-04-15,3126,0.441913,0.67125,0.226375
2011-04-16,795,0.425492,0.888333,0.340808
2011-04-17,3744,0.445696,0.479583,0.303496
2011-04-18,3429,0.503146,0.5425,0.163567
2011-04-19,3204,0.489258,0.665833,0.157971
2011-04-20,3944,0.564392,0.614167,0.241925
2011-04-21,4189,0.453892,0.407083,0.325258
2011-04-22,1683,0.321954,0.729583,0.219521
2011-04-23,4036,0.450121,0.887917,0.230725
2011-04-24,4191,0.551763,0.810833,0.192175
2011-04-25,4073,0.5745,0.776667,0.185333
2011-04-26,4400,0.594083,0.729167,0.3265
2011-04-27,3872,0.575142,0.835417,0.3122
2011-04-28,4058,0.578929,0.700833,0.320908
2011-04-29,4595,0.497463,0.457083,0.240063
2011-04-30,5312,0.464021,0.503333,0.235075
2011-05-01,3351,0.448204,0.762083,0.106354
2011-05-02,4401,0.532833,0.73,0.183454
2011-05-03,4451,0.582079,0.697083,0.342667
2011-05-04,2633,0.40465,0.737083,0.328996
2011-05-05,4433,0.441917,0.444167,0.295392
2011-05-06,4608,0.474117,0.59,0.228246
2011-05-07,4714,0.512621,0.54125,0.16045
2011-05-08,4333,0.518933,0.631667,0.0746375
2011-05-09,4362,0.525246,0.58875,0.176
2011-05-10,4803,0.522721,0.489167,0.115671
2011-05-11,4182,0.5284,0.632917,0.120642
2011-05-12,4864,0.523363,0.7475,0.189667
2011-05-13,4105,0.4943,0.863333,0.179725
2011-05-14,3409,0.500629,0.9225,0.13495
2011-05-15,4553,0.536,0.867083,0.152979
2011-05-16,3958,0.550512,0.787917,0.126871
2011-05-17,4123,0.538529,0.837917,0.277354
2011-05-18,3855,0.527158,0.87,0.201492
2011-05-19,4575,0.510742,0.829583,0.108213
2011-05-20,4917,0.529042,0.719583,0.125013
2011-05-21,5805,0.571975,0.626667,0.12065
2011-05-22,4660,0.5745,0.749583,0.148008
2011-05-23,4274,0.590296,0.81,0.233842
2011-05-24,4492,0.604813,0.740833,0.207092
2011-05-25,4978,0.615542,0.69625,0.154233
2011-05-26,4677,0.654688,0.6775,0.199642
2011-05-27,4679,0.637008,0.65375,0.240679
2011-05-28,4758,0.612379,0.729583,0.230092
2011-05-29,4788,0.61555,0.81875,0.213938
2011-05-30,4098,0.671092,0.685,0.131225
2011-05-31,3982,0.725383,0.636667,0.111329
2011-06-01,3974,0.720967,0.677083,0.207092
2011-06-02,4968,0.643942,0.305,0.292287
2011-06-03,5312,0.587133,0.354167,0.253121
2011-06-04,5342,0.594696,0.45625,0.123142
2011-06-05,4906,0.616804,0.6525,0.138692
2011-06-06,4548,0.621858,0.6,0.121896
2011-06-07,4833,0.65595,0.597917,0.187808
2011-06-08,4401,0.727279,0.622083,0.136817
2011-06-09,3915,0.757579,0.568333,0.149883
2011-06-10,4586,0.703292,0.605,0.140554
2011-06-11,4966,0.678038,0.654583,0.15485
2011-06-12,4460,0.643325,0.747917,0.163567
2011-06-13,5020,0.601654,0.494583,0.30535
2011-06-14,4891,0.591546,0.507083,0.269283
2011-06-15,5180,0.587754,0.471667,0.167912
2011-06-16,3767,0.595346,0.688333,0.206471
2011-06-17,4844,0.600383,0.735833,0.143029
2011-06-18,5119,0.643954,0.670417,0.119408
2011-06-19,4744,0.645846,0.666667,0.102
2011-06-20,4010,0.595346,0.74625,0.155475
2011-06-21,4835,0.637646,0.770417,0.171025
2011-06-22,4507,0.693829,0.7075,0.172262
2011-06-23,4790,0.693833,0.703333,0.238804
2011-06-24,4991,0.656583,0.573333,0.222025
